filename,actionFlag,nullHyperlinkFlag,suspecLinkFlag,outLinkFlag,zeroLinkFlag,outCssFlag
http://qq.com,1,0.0294,0,0.0364,0,0
http://sohu.com,0,0,0,0.0947,0,0
http://weibo.com,0,0,0,0,1,0
http://sina.com.cn,1,0.0283,0.022,0.0991,0,0
http://163.com,0,0.1891,0.0005,0.0373,0,0
http://douban.com,0,0.0174,0,0.0217,0,0
http://tv.sohu.com,0,0.0074,0,0.0135,0,0
http://iqiyi.com,0,0.3684,0,0.0145,0,0
http://youku.com,0,0,0,0.0375,0,0
http://autohome.com.cn,0,0.0488,0,0.0383,0,0
http://ifeng.com,0,0,0.0016,0.0129,0,0
http://zol.com.cn,0,0.0012,0.0695,0.0857,0,0
http://v.qq.com,0,0.0057,0,0.0105,0,0
http://eastmoney.com,0,0.0142,0.0049,0.074,0,0
http://sogou.com,0,0,0.0253,0.0759,0,0
http://people.com.cn,0,0.0011,0.0155,0.182,0,1
http://so.com,0,0.1282,0,0,0,0
http://taobao.com,0,0.0379,0.0303,0.1364,0,0
http://58.com,0,0.0013,0,0.0151,0,0
http://bilibili.com,0,0.0132,0,0.0132,0,0
http://qidian.com,0,0.0047,0.0189,0.0284,0,0
http://ctrip.com,0,0.0498,0.017,0.079,0,0
http://jd.com,0,0.0219,0,0,0,0
http://mafengwo.cn,0,0,0,0,1,0
http://fang.com,0,0,0,0,1,0
http://360doc.com,0,0,0,0,1,0
http://movie.douban.com,1,0.0187,0,0.0312,0,1
http://pconline.com.cn,0,0,0.0008,0.0212,0,0
http://pcbaby.com.cn,0,0.0144,0.0004,0.1614,0,0
http://kugou.com,0,0.1085,0,0.1038,0,0
http://dict.cn,0,0.0238,0,0.0714,0,1
http://weather.com.cn,0,0.0062,0.0031,0.0679,0,1
http://kuwo.cn,0,0.2199,0,0.1411,0,0
http://39.net,0,0.0038,0.0011,0.021,0,0
http://1905.com,0,0,0,0.089,0,0
http://120ask.com,0,0,0,0,1,0
http://onlinedown.net,0,0.0005,0,0.0389,0,0
http://tianqi.com,0,0,0.0164,0.1589,0,0
http://911cha.com,0,0,0,0,1,0
http://csdn.net,0,0,0,0.0565,0,0
http://gushiwen.org,0,0,0.5642,0.0467,0,0
http://blog.csdn.net,0,0,0,0.011,0,0
http://cnblogs.com,0,0.0055,0.0055,0.1099,0,0
http://y.qq.com,0,0.4797,0,0.1138,0,0
http://pclady.com.cn,0,0.0174,0.0007,0.1256,0,0
http://kuaidi100.com,0,0.037,0,0.2037,0,0
http://baike.pcbaby.com.cn,0,0.0713,0,0.0876,0,0
http://v.ifeng.com,0,0,0,0,0,0
http://ruiwen.com,0,0.0237,0,0.013,0,0
http://baike.com,0,0.0078,0.0039,0.0936,0,1
http://meishij.net,1,0.0036,0.0325,0.13,0,0
http://360.cn,1,0.0094,0.0258,0.1643,0,0
http://zhihu.com,0,0,0,0,1,0
http://cncn.com,0,0.25,0.0041,0.0826,0,0
http://4399.com,0,0.025,0.0009,0.1426,0,0
http://guba.eastmoney.com,0,0.0063,0.0084,0.0422,0,0
http://1688.com,0,0.1395,0,0.1337,0,0
http://tvmao.com,0,0,0,0,1,0
http://hao123.com,1,0.0635,0,0.7328,0,0
http://xinshipu.com,0,0.2059,0,0,0,0
http://xiachufang.com,0,0,0,0.0163,0,0
http://music.163.com,0,0.5024,0,0.0047,0,0
http://mama.cn,0,0.0366,0.0065,0.1427,0,0
http://iciba.com,0,0,0,0,1,0
http://jia.com,0,0.0281,0,0.0734,0,0
http://you.ctrip.com,0,0.0238,0.0079,0.0576,0,0
http://tieba.baidu.com,0,0.125,0,0.0076,0,0
http://wenku.baidu.com,0,0.0017,0,0.0153,0,0
http://zhidao.baidu.com,0,0.0508,0,0,0,1
http://image.baidu.com,0,0.0714,0,0,0,0
http://xh.5156edu.com,1,0,0.0118,0,0,0
http://jingyan.baidu.com,0,0.0154,0,0,0,0
http://map.baidu.com,0,0,0,0,1,0
http://www.zybang.com,0,0.1333,0,0.2,0,1
http://v.baidu.com,0,0.0184,0,0.0429,0,1
http://www.douyu.com,0,0.0267,0,0.0978,0,1
http://biquge.info,0,0.0141,0.0047,0.0516,0,0
http://tianya.cn,0,0,0,0.5,0,1
http://hupu.com,0,0.0098,0.0049,0.113,0,0
http://eastday.com,1,0.0019,0.0019,0.2111,0,1
http://china.com.cn,0,0,0,0.1199,0,0
http://lvyou.baidu.com,0,0,0,0.0971,0,0
http://gaosan.com,0,0.0044,0,0.0789,0,0
http://jjwxc.net,0,0.0303,0.0909,0.2121,0,0
http://chinaz.com,0,0.0011,0.0022,0.0223,0,0
http://smzdm.com,0,0.0864,0,0.0354,0,0
http://bbs.tianya.cn,0,0.0168,0,0.002,0,1
http://gamersky.com,0,0,0,0,1,0
http://huya.com,0,0,0.0078,0.1783,0,1
http://ali213.net,0,0,0,0.0463,0,0
http://3dmgame.com,0,0.006,0,0.0732,0,0
http://fanyi.baidu.com,0,0.0085,0,0.0684,0,0
http://music.baidu.com,0,0.2508,0,0.0735,0,0
http://pptv.com,0,0.0562,0,0.0226,0,0
http://finance.sina.com.cn,0,0.0081,0.074,0.0569,0,0
http://hexun.com,0,0.0093,0.0093,0.0481,0,0
http://17173.com,0,0.0611,0.0009,0.1282,0,0
http://mtime.com,0,0.0124,0,0.0166,0,0
http://xcar.com.cn,0,0,0,0,1,0
http://news.ifeng.com,0,0,0.0045,0.2768,0,0
http://ccb.com,0,0,0,0,1,0
http://zdic.net,0,0,0.0938,0.1094,0,0
http://7k7k.com,0,0.0037,0.011,0.0154,0,0
http://pcauto.com.cn,0,0.1438,0.0004,0.0342,0,0
http://mbalib.com,0,0,0,0.04,0,0
http://w3school.com.cn,1,0,0.9231,0.0462,0,0
http://cntv.cn,0,0.0149,0,0.9538,0,0
http://book.douban.com,0,0.0445,0.0342,0.0103,0,1
http://xiaohongshu.com,0,0,0,0,1,0
http://bitauto.com,1,0.0056,0.0014,0.2193,0,0
http://51240.com,0,0.0079,0,0.0237,0,0
http://51test.net,0,0,0.0026,0.0571,0,0
http://pc6.com,0,0,0,0.029,0,0
http://quote.eastmoney.com,0,0.0259,0.0029,0.0605,0,0
http://8684.cn,0,0,0.0083,0.1736,0,0
http://360kan.com,0,0.0596,0.1836,0.0099,0,0
http://booktxt.net,0,0,0.0566,0,0,0
http://xinhuanet.com,1,0.0139,0.0013,0.2393,0,0
http://liuxue86.com,0,0.0038,0,0.0073,0,0
http://youdao.com,0,0.0238,0.0238,0.1429,0,0
http://51job.com,0,0,0.0603,0.0261,0,0
http://google.cn,0,0,0,0.75,0,0
http://zhibo8.cc,0,0,0.2269,0.508,0,0
http://blog.sina.com.cn,0,0.0112,0.0074,0.0223,0,0
http://zhaopin.com,0,0.0014,0.0014,0.1048,0,0
http://alipay.com,0,0.1818,0.0455,0.3182,0,0
http://anjuke.com,0,0,0,0.0138,0,1
http://xiami.com,0,0,0,0,1,0
http://toutiao.com,0,0,0,0,1,0
http://chinadaily.com.cn,0,0,0,0,1,0
http://wiki.mbalib.com,0,0.0021,0.0172,0,0,0
http://58pic.com,0,0.0456,0.0977,0.0684,0,0
http://qunar.com,0,0.0809,0.0108,0.035,0,0
http://hao.360.cn,1,0.0438,0.0018,0.2676,0,0
http://weixin.qq.com,0,0,0,0.0714,0,0
http://hujiang.com,0,0,0,0,1,0
http://yesky.com,0,0.0013,0,0.1093,0,0
http://xuexila.com,0,0.0021,0.0021,0.0761,0,0
http://baixing.com,0,0.0088,0.0018,0.0864,0,0
http://news.qq.com,0,0,0,0,1,0
http://www.boc.cn,1,0.0089,0,0.2552,0,0
http://ip138.com,1,0,0.0109,0.2283,0,0
http://xiangha.com,0,0.0556,0,0.0787,0,0
http://china.com,0,0.003,0,0.0417,0,0
http://kanzhun.com,0,0,0,0,1,0
http://fund.eastmoney.com,0,0.0006,0.0042,0.1941,0,0
http://unjs.com,0,0,0,0.1351,0,0
http://yxdown.com,0,0.0303,0,0.0636,0,0
http://ganji.com,0,0.0013,0.0467,0.0214,0,0
http://yinyuetai.com,0,0.1026,0,0.0385,0,0
http://faloo.com,0,0,0.0427,0.122,0,0
http://66law.cn,0,0,0.389,0.0209,0,0
http://bendibao.com,1,0.0075,0,0.005,0,0
http://docin.com,0,0.0036,0,0.0873,0,1
http://b.faloo.com,0,0,0.0191,0.0322,0,0
http://offcn.com,1,0.003,0.0049,0.3633,0,0
http://sports.sina.com.cn,0,0.0064,0.0046,0.0285,0,0
http://mp.weixin.qq.com,0,0.0312,0,0.0312,0,0
http://mail.163.com,0,0,0,0.0488,0,0
http://haodf.com,0,0,0,0,1,0
http://pingan.com,0,0,0.0049,0.3024,0,0
http://detail.zol.com.cn,0,0.0496,0.0349,0.0317,0,0
http://zongheng.com,0,0.0023,0.0023,0.1285,0,0
http://jiameng.com,0,0,0,1,0,0
http://news.sohu.com,0,0.0045,0,0.1514,0,0
http://cnki.net,0,0,0.0185,0.0481,0,0
http://www.dianping.com,0,0,0,0.0714,0,0
http://122.gov.cn,0,0,0,0,1,0
http://huawei.com,0,0.0609,0.0128,0.0833,0,0
http://eol.cn,0,0.0208,0.0016,0.0817,0,0
http://nba.com,0,0.015,0,0.5935,0,0
http://lianjia.com,0,0,0,0,1,0
http://price.pcauto.com.cn,0,0.0303,0,0,0,0
http://ent.qq.com,1,0.0048,0.0008,0.0787,0,0
http://zdface.com,0,0.0284,0,0.1225,0,0
http://sc.chinaz.com,0,0,0.004,0.03,0,0
http://lz13.cn,0,0,0,0.0257,0,0
http://doyo.cn,0,0.0033,0,0.0196,0,0
http://redocn.com,0,0.0455,0.0017,0.1171,0,0
http://d1xz.net,0,0.0186,0.5315,0.0516,0,0
http://doc88.com,0,0.1375,0.15,0.025,0,0
http://aizhan.com,0,0,0.0108,0.0649,0,0
http://juzimi.com,0,0,0,0,1,0
http://translate.google.cn,0,0,0,0.5556,0,1
http://car.autohome.com.cn,0,0.0024,0,0,0,0
http://manhuatai.com,0,0,0,0.0476,0,0
http://dmzj.com,0,0.0577,0,0.0096,0,0
http://www.mi.com,0,0.0088,0,0.0658,0,0
http://suning.com,0,0.0702,0,0.0246,0,0
http://tvsou.com,0,0,0.0036,0.2071,0,0
http://mail.qq.com,0,0,0,0.0625,0,1
http://ximalaya.com,0,0,0,0,1,0
http://meishichina.com,0,0.0023,0,0.0519,0,0
http://news.sina.com.cn,0,0.0068,0.0301,0.1191,0,0
http://dict.youdao.com,0,0.0238,0.0238,0.1429,0,0
http://dytt8.net,0,0.0036,0,0.0089,0,0
http://maigoo.com,0,0.0363,0,0.0544,0,0
http://18183.com,1,0.0005,0.0005,0.1174,0,0
http://xywy.com,0,0.0865,0.0198,0.0743,0,0
http://news.163.com,1,0.0181,0,0.2155,0,0
http://so.gushiwen.org,0,0,0,0,1,0
http://guancha.cn,0,0.0032,0.0008,0.0142,0,0
http://sports.qq.com,0,0.0971,0.0022,0.0993,0,0
http://flights.ctrip.com,0,0.2097,0.0334,0.1277,0,0
http://nuomi.com,0,0.0177,0,0.0638,0,0
http://sports.sohu.com,0,0,0.0808,0.0053,0,0
http://qq.ip138.com,0,0,0.0952,0.0952,0,0
http://xbiao.com,0,0.0209,0.0417,0.0654,0,0
http://gkcx.eol.cn,0,0,0,0,1,0
http://maoyan.com,0,0,0.03,0.09,0,0
http://juqingba.cn,1,0.0055,0,0.0771,0,0
http://ent.sina.com.cn,0,0.019,0.0011,0.1196,0,0
http://jianshu.com,0,0,0,0,1,0
http://ivsky.com,0,0,0,0.1087,0,0
http://bytravel.cn,0,0,0,0,1,0
http://jmw.com.cn,0,0.0087,0.0515,0.0228,0,0
http://51credit.com,0,0.0222,0,0.1333,0,0
http://cr173.com,0,0.0024,0,0.0782,0,0
http://renren.com,0,0.0192,0,0.25,0,1
http://tuliu.com,0,0.0071,0.0048,0.1619,0,0
http://www.chsi.com.cn,0,0,0,0.3097,0,1
http://fh21.com.cn,0,0.0188,0,0.1009,0,0
http://2345.com,0,0.0381,0.0296,0.4271,0,0
http://yw11.com,0,0,0.0488,0.0395,0,0
http://hydcd.com,0,0,0,0.0736,0,0
http://leha.com,0,0.0099,0,0.0377,0,0
http://sh.qihoo.com,1,0.0312,0.0156,0.5859,0,0
http://80txt.com,0,0,0.0016,0.0459,0,0
http://ask.39.net,0,0,0,0,1,0
http://elecfans.com,1,0.0035,0.0177,0.1062,0,0
http://china-10.com,0,0.078,0,0.0683,0,0
http://cngold.org,0,0.0008,0,0.0017,0,1
http://haodou.com,0,0,0.2203,0.2938,0,0
http://wx.qq.com,0,0.2353,0,0.1765,0,0
http://fanyi.youdao.com,0,0.7273,0,0.0152,0,1
http://360kad.com,0,0.002,0.2454,0.033,0,0
http://yue365.com,0,0,0,0.0623,0,0
http://enterdesk.com,0,0.0026,0,0.0885,0,0
http://shangc.net,0,0.0056,0,0.1732,0,0
http://xzw.com,0,0.0017,0,0.0915,0,0
http://manmankan.com,0,0,0,0.0258,0,0
http://ac.qq.com,0,0,0,0.0048,0,0
http://91jm.com,0,0.0005,0.0005,0.0189,0,0
http://9ku.com,0,0.0051,0,0.0212,0,0
http://64365.com,0,0,0.1416,0.0838,0,0
http://7y7.com,0,0.0082,0,0.0655,0,0
http://9game.cn,0,0.0024,0,0.1014,0,0
http://finance.ifeng.com,0,0.0144,0.0072,0.0072,0,0
http://manhua.dmzj.com,0,0,0,0.0172,0,0
http://chachaba.com,0,0,0,0,1,0
http://im.qq.com,0,0.075,0,0.1,0,0
http://jianke.com,0,0,0,0.04,0,0
http://1ting.com,0,0.0042,0.0014,0.0407,0,0
http://mgtv.com,0,0.0235,0.0157,0.0706,0,0
http://cndzys.com,0,0.0158,0,0.0585,0,0
http://ent.ifeng.com,0,0,0,0,0,0
http://ccoo.cn,1,0.0016,0,0.0574,0,1
http://17500.cn,0,0.0344,0.047,0.0919,0,0
http://aliyun.com,0,0.0033,0,0.0426,0,0
http://rednet.cn,1,0.0053,0.0011,0.2577,0,0
http://www.tmall.com,0,0,0,0,0,0
http://www.microsoft.com,0,0,0.0549,0.2857,0,0
http://yy.com,0,0.0833,0,0.2361,0,0
http://che168.com,0,0.0127,0,0.0056,0,0
http://qj.com.cn,0,0.005,0.0006,0.0599,0,0
http://jrj.com.cn,0,0.0541,0,0.0239,0,0
http://dangdang.com,0,0.0039,0.0941,0.0353,0,0
http://le.com,0,0.0152,0.0015,0.0412,0,0
http://baofeng.com,0,0.0024,0,0.1415,0,0
http://nipic.com,0,0,0.0164,0.1639,0,0
http://www.chinairn.com,0,0,0,0.1365,0,0
http://6.cn,0,0.0893,0.1202,0.031,0,0
http://nba.hupu.com,0,0,0,0.1133,0,0
http://zcool.com.cn,0,0.0381,0.0286,0.1238,0,0
http://178.com,0,0.0248,0,0.1801,0,0
http://qqtn.com,0,0.0012,0,0.0826,0,0
http://aicai.com,0,0.0396,0,0.0422,0,0
http://bing.com,0,0.0323,0,0.5806,0,0
http://mydrivers.com,0,0.0712,0,0.0556,0,0
http://jiayuan.com,0,0.8359,0.0808,0.0177,0,1
http://www.adobe.com,0,0.1287,0,0,0,0
http://liebiao.com,0,0,0.0025,0.0639,0,1
http://lofter.com,0,0,0,0,1,0
http://boosj.com,0,0.0047,0,0.1745,0,0
http://chinapp.com,0,0.0121,0,0.0492,0,0
http://buyiju.com,0,0,0.0595,0.1488,0,0
http://safetree.com.cn,0,0.0764,0.1338,0.0828,0,0
http://qfang.com,0,0,0,0.2687,0,0
http://xpgod.com,0,0,0,0.062,0,0
http://www.99zuowen.com,0,0.0026,0.0077,0.0166,0,0
http://dm5.com,0,0,0,0.0163,0,0
http://vip.com,0,0.0294,0.0882,0,0,0
http://xunlei.com,0,0.381,0.0159,0.1587,0,0
http://focus.cn,0,0.0534,0,0.0354,0,0
http://www.chazidian.com,0,0.0026,0,0.0078,0,0
http://moegirl.org,0,0,0.1818,0.1364,0,0
http://sto.cn,0,0.02,0,0.09,0,0
http://www.10086.cn,0,0,0,0,1,0
http://qqyou.com,0,0.0019,0.1029,0.0524,0,0
http://job592.com,0,0,0,0.1935,0,0
http://pan.baidu.com,0,0,0.0455,0,0,0
http://so.redocn.com,0,0.005,0.0025,0.0451,0,0
http://cp2y.com,0,0.0196,0.0065,0.1699,0,0
http://qzone.qq.com,0,0,0,0.05,0,0
http://zgjm.org,0,0,0.0039,0.03,0,0
http://book118.com,0,0.0049,0.0148,0.0345,0,0
http://tv.cctv.com,0,0.0216,0,0.0086,0,1
http://ooopic.com,0,0.2013,0.0941,0.071,0,0
http://tgbus.com,0,0,0,0.027,0,0
http://china.cn,0,0.0156,0.0182,0.0195,0,0
http://zh.moegirl.org,0,0,0.0299,0.009,0,0
http://liqucn.com,0,0,0.0395,0,0,0
http://www.12306.cn,0,0.7754,0,0,0,0
http://sdo.com,0,0,0,0,0,0
http://to8to.com,0,0.062,0.0155,0.0827,0,0
http://www.56.com,0,0.004,0,0.0121,0,0
http://zjtcn.com,0,0,0,0,1,0
http://jisutiyu.com,0,0.0016,0.0501,0.3006,0,0
http://www.189.cn,0,0,0,0.0588,0,0
http://www.cmbchina.com,0,0,0.1135,0.0871,0,0
http://www.10010.com,0,0,0,0,1,0
http://19lou.com,0,0.0643,0,0.1607,0,0
http://chinaacc.com,0,0,0,0.0415,0,0
http://www.icbc.com.cn,0,0,0,0,1,0
http://uuu9.com,0,0.0016,0.0048,0.1356,0,0
http://tuniu.com,0,0.0132,0,0.0245,0,0
http://china.nba.com,0,0.015,0,0.5935,0,0
http://99166.com,0,0.0084,0.0232,0.0989,0,0
http://duanmeiwen.com,0,0,0,0.0106,0,0
http://cn.bing.com,0,0.0323,0,0.5806,0,0
